,recall,precision
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,0.889
5,0.5,0.889
6,0.6,0.889
7,0.7,0.733
8,0.8,0.733
9,0.9,0.211
10,1.0,0.098
