,recall,precision
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,0.429
4,0.4,0.429
5,0.5,0.429
6,0.6,0.429
7,0.7,0.0
8,0.8,0.0
9,0.9,0.0
10,1.0,0.0
