recall,BM25_1,PL2_1,BM25_2,PL2_2,BM25_3,PL2_3
0,1,1,1,1,1,1
0.1,1,1,1,1,1,1
0.2,1,1,1,1,1,1
0.3,0.4,0.43,0,0,0.29,0.27
0.4,0.4,0.43,0,0,0.29,0.27
0.5,0.38,0.43,0,0,0.25,0.27
0.6,0.38,0.43,0,0,0.25,0.27
0.7,0,0,0,0,0,0
0.8,0,0,0,0,0,0
0.9,0,0,0,0,0,0
1,0,0,0,0,0,0
