,document,relevant,recall,precision,f-measure
47,D484,True,0.6461538461538462,0.875,0.7433628318584071
48,D135,False,0.6461538461538462,0.8571428571428571,0.736842105263158
49,D064,True,0.6615384615384615,0.86,0.7478260869565216
50,D404,True,0.676923076923077,0.8627450980392157,0.7586206896551724
51,D138,False,0.676923076923077,0.8461538461538461,0.7521367521367521
52,D384,False,0.676923076923077,0.8301886792452831,0.7457627118644068
53,D389,True,0.6923076923076923,0.8333333333333334,0.7563025210084034
54,D133,True,0.7076923076923077,0.8363636363636363,0.7666666666666666
55,D385,True,0.7230769230769231,0.8392857142857143,0.7768595041322314
56,D117,False,0.7230769230769231,0.8245614035087719,0.7704918032786885
57,D369,True,0.7384615384615385,0.8275862068965517,0.7804878048780489
58,D257,True,0.7538461538461538,0.8305084745762712,0.7903225806451613
59,D493,True,0.7692307692307693,0.8333333333333334,0.8
60,D495,False,0.7692307692307693,0.819672131147541,0.7936507936507937
61,D473,True,0.7846153846153846,0.8225806451612904,0.8031496062992126
62,D268,True,0.8,0.8253968253968254,0.8125
63,D082,False,0.8,0.8125,0.8062015503875969
64,D240,True,0.8153846153846154,0.8153846153846154,0.8153846153846154
65,D270,True,0.8307692307692308,0.8181818181818182,0.8244274809160306
66,D356,True,0.8461538461538461,0.8208955223880597,0.8333333333333334
67,D239,False,0.8461538461538461,0.8088235294117647,0.8270676691729324
68,D134,False,0.8461538461538461,0.7971014492753623,0.8208955223880597
69,D251,True,0.8615384615384616,0.8,0.8296296296296297
70,D589,False,0.8615384615384616,0.7887323943661971,0.8235294117647058
71,D056,True,0.8769230769230769,0.7916666666666666,0.832116788321168
72,D427,True,0.8923076923076924,0.7945205479452054,0.8405797101449275
73,D266,False,0.8923076923076924,0.7837837837837838,0.8345323741007195
74,D167,False,0.8923076923076924,0.7733333333333333,0.8285714285714286
75,D387,False,0.8923076923076924,0.7631578947368421,0.822695035460993
76,D265,False,0.8923076923076924,0.7532467532467533,0.8169014084507042
77,D367,True,0.9076923076923077,0.7564102564102564,0.8251748251748253
78,D436,False,0.9076923076923077,0.7468354430379747,0.8194444444444445
79,D526,True,0.9230769230769231,0.75,0.8275862068965517
80,D227,False,0.9230769230769231,0.7407407407407407,0.8219178082191781
81,D600,False,0.9230769230769231,0.7317073170731707,0.8163265306122449
82,D437,False,0.9230769230769231,0.7228915662650602,0.810810810810811
83,D107,False,0.9230769230769231,0.7142857142857143,0.8053691275167787
84,D141,False,0.9230769230769231,0.7058823529411765,0.8000000000000002
85,D381,True,0.9384615384615385,0.7093023255813954,0.8079470198675497
86,D199,False,0.9384615384615385,0.7011494252873564,0.8026315789473685
87,D200,False,0.9384615384615385,0.6931818181818182,0.7973856209150327
88,D162,False,0.9384615384615385,0.6853932584269663,0.7922077922077922
89,D499,True,0.9538461538461539,0.6888888888888889,0.8000000000000002
90,D500,False,0.9538461538461539,0.6813186813186813,0.7948717948717949
91,D490,False,0.9538461538461539,0.6739130434782609,0.7898089171974523
92,D140,False,0.9538461538461539,0.6666666666666666,0.7848101265822784
93,D119,False,0.9538461538461539,0.6595744680851063,0.7798742138364779
