,recall,precision
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,0.933
5,0.5,0.909
6,0.6,0.909
7,0.7,0.839
8,0.8,0.825
9,0.9,0.756
10,1.0,0.0
