,document,relevant,recall,precision,f-measure
47,D484,True,0.676923076923077,0.9166666666666666,0.7787610619469026
48,D064,True,0.6923076923076923,0.9183673469387755,0.7894736842105262
49,D376,False,0.6923076923076923,0.9,0.7826086956521738
50,D257,True,0.7076923076923077,0.9019607843137255,0.7931034482758621
51,D497,True,0.7230769230769231,0.9038461538461539,0.8034188034188035
52,D165,False,0.7230769230769231,0.8867924528301887,0.7966101694915254
53,D135,False,0.7230769230769231,0.8703703703703703,0.7899159663865546
54,D138,False,0.7230769230769231,0.8545454545454545,0.7833333333333332
55,D384,False,0.7230769230769231,0.8392857142857143,0.7768595041322314
56,D389,True,0.7384615384615385,0.8421052631578947,0.7868852459016393
57,D369,True,0.7538461538461538,0.8448275862068966,0.7967479674796748
58,D493,True,0.7692307692307693,0.847457627118644,0.8064516129032259
59,D495,False,0.7692307692307693,0.8333333333333334,0.8
60,D227,False,0.7692307692307693,0.819672131147541,0.7936507936507937
61,D117,False,0.7692307692307693,0.8064516129032258,0.7874015748031495
62,D473,True,0.7846153846153846,0.8095238095238095,0.7968749999999999
63,D268,True,0.8,0.8125,0.8062015503875969
64,D082,False,0.8,0.8,0.8000000000000002
65,D240,True,0.8153846153846154,0.803030303030303,0.8091603053435115
66,D270,True,0.8307692307692308,0.8059701492537313,0.8181818181818182
67,D356,True,0.8461538461538461,0.8088235294117647,0.8270676691729324
68,D239,False,0.8461538461538461,0.7971014492753623,0.8208955223880597
69,D134,False,0.8461538461538461,0.7857142857142857,0.8148148148148148
70,D251,True,0.8615384615384616,0.7887323943661971,0.8235294117647058
71,D589,False,0.8615384615384616,0.7777777777777778,0.8175182481751826
72,D056,True,0.8769230769230769,0.7808219178082192,0.8260869565217391
73,D427,True,0.8923076923076924,0.7837837837837838,0.8345323741007195
74,D266,False,0.8923076923076924,0.7733333333333333,0.8285714285714286
75,D167,False,0.8923076923076924,0.7631578947368421,0.822695035460993
76,D387,False,0.8923076923076924,0.7532467532467533,0.8169014084507042
77,D265,False,0.8923076923076924,0.7435897435897436,0.8111888111888114
78,D367,True,0.9076923076923077,0.7468354430379747,0.8194444444444445
79,D436,False,0.9076923076923077,0.7375,0.8137931034482759
80,D526,True,0.9230769230769231,0.7407407407407407,0.8219178082191781
81,D600,False,0.9230769230769231,0.7317073170731707,0.8163265306122449
82,D437,False,0.9230769230769231,0.7228915662650602,0.810810810810811
83,D107,False,0.9230769230769231,0.7142857142857143,0.8053691275167787
84,D141,False,0.9230769230769231,0.7058823529411765,0.8000000000000002
85,D381,True,0.9384615384615385,0.7093023255813954,0.8079470198675497
86,D199,False,0.9384615384615385,0.7011494252873564,0.8026315789473685
87,D200,False,0.9384615384615385,0.6931818181818182,0.7973856209150327
88,D162,False,0.9384615384615385,0.6853932584269663,0.7922077922077922
89,D499,True,0.9538461538461539,0.6888888888888889,0.8000000000000002
90,D500,False,0.9538461538461539,0.6813186813186813,0.7948717948717949
91,D490,False,0.9538461538461539,0.6739130434782609,0.7898089171974523
92,D140,False,0.9538461538461539,0.6666666666666666,0.7848101265822784
93,D119,False,0.9538461538461539,0.6595744680851063,0.7798742138364779
