,document,relevant,recall,precision,f-measure
0,D005,True,0.2,1.0,0.333
1,D579,False,0.2,0.5,0.286
2,D442,False,0.2,0.333,0.25
3,D132,False,0.2,0.25,0.222
4,D010,True,0.4,0.4,0.4
5,D479,False,0.4,0.333,0.364
6,D138,False,0.4,0.286,0.333
7,D631,True,0.6,0.375,0.462
8,D492,False,0.6,0.333,0.429
9,D337,False,0.6,0.3,0.4
10,D627,False,0.6,0.273,0.375
